Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,Apr 16 Glass Tonnages Kg,May 16 Glass Tonnages Kg,Jun 16 Glass Tonnages Kg,Jul 16 Glass Tonnages Kg,Aug 16 Glass Tonnages Kg,Sep 16 Glass Tonnages Kg,Oct 16 Glass Tonnages Kg,Nov 16 Glass Tonnages Kg,Dec 16 Glass Tonnages Kg,Jan 17 Glass Tonnages Kg,Feb 17 Glass Tonnages Kg,Mar 17 Glass Tonnages Kg,Apr 17 Glass Tonnages Kg,May 17 Glass Tonnages Kg,Jun 17 Glass Tonnages Kg,Jul 17 Glass Tonnages Kg,Aug 17 Glass Tonnages Kg,Sep 17 Glass Tonnages Kg,Oct 17 Glass Tonnages Kg,Nov 17 Glass Tonnages Kg,Dec 17 Glass Tonnages Kg,Jan 18 Glass Tonnages Kg,Feb 18 Glass Tonnages Kg,Mar 18 Glass Tonnages Kg,04/18 Glass Tonnages Kg,05/18 Glass Tonnages Kg,06/18 Glass Tonnages Kg,07/18 Glass Tonnages Kg,08/18 Glass Tonnages Kg,09/18 Glass Tonnages Kg,10/18 Glass Tonnages Kg,11/18 Glass Tonnages Kg,12/18 Glass Tonnages Kg,01/19 Glass Tonnages Kg,02/19 Glass Tonnages Kg,03/19 Glass Tonnages Kg,Total from Apr 19,12 Month Average
Carpark,"7A Westgate, Otley",LS21 3AT,Car Park,Otley and Yeadon,Y,LS21,,72340364,53.905732,-1.695225,445551,420121,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carr Mills,Buslingthorpe Lane,LS7 2DD,Student Accomodation,Chapel Allerton,,LS7,21946,72034088,53.815997,-1.54531,435620,430034,Y,,,,,Glass,1,,1,,65,,,,,,,,,,441,,,156,,,,384,,374,,,,,,130,,,,186,,,,,0,316,105
Carriers Arms,"Glen Road, Morley",LS27 9HG,Pub,Morley South,Y,LS27,21947,72364795,53.739934,-1.596891,427137,426686,Y,,,,,Glass,1,,1,322,317,674,426,310,342,400,134,741,602,657,254,320,388,622,463,141,448,614,349,,"1,058",,463,358,320,379,469,190,298,425,,459,,520,"1,131",4549,455
Chapel Allerton Tennis Sqush and GymClub ,Wensley Avenue,LS7 3QX,Leisure Centre,Chapel Allerton,,LS7,22075,72559687,53.829902,-1.540768,437169,430323,Y,,,,,Glass,1,,1,566,,325,635,"1,061",534,839,465,550,960,580,,690,"1,073",,737,979,382,888,943,374,700,533,645,728,626,498,846,859,401,581,399,381,413,640,535,6908,576
Chapel Street Social Club,Chapel Street,LS15 7RN,Social Club,Temple Newsam,Y,LS15,21950,72562231,53.796769,-1.468257,433516,435123,Y,,,,,Glass,1,,3,"1,974","2,057","2,431","1,777","1,521","1,403","1,908","1,991","1,691","3,234","2,107","1,899","1,446","1,895","2,586","2,500","1,807","3,394","1,679","1,641","3,654","2,115","1,903","2,155","1,448","1,486","3,423","1,491",500,,"1,373",878,"2,045","2,158","1,373","1,227",17400,"1,582"
Chapeltown Housing Library,Reginald Terrace,LS7 3EX,Council Office,Chapel Allerton,Y,LS7,21951,72681718,53.81767,-1.531697,435812,430929,Y,,,,,Glass,1,,1,848,,436,,,320,,,330,,350,,358,312,,,,,,,,667,,,,,201,,,,,,,,80,302,583,194
Charlie Bretts at The Allerton formely Leeds Seventeen,Nursery Lane,LS17 7HW,Restaurant,Alwoodley,,LS17,22079,72146612,53.852306,-1.544354,439660,430071,Y,,,,,Glass,1,,3,"1,775",,215,,,534,,543,,,,"1,537",,,,,918,,,,861,,"1,697",,,"2,055","1,247",,,"8,120",,"1,145",,,660,"1,129",14356,"2,393"
Chequers Inn,"Claypit Lane, Ledsham",LS25 5LP,Pub,Kippax and Methley,,LS25,21952,72393541,53.762153,-1.310796,429754,445532,Y,Y,,,,"Glass, Paper",1,,3,"1,287","1,710","1,341",213,"2,770",608,"1,110","2,035",420,544,"1,948","1,021",358,,"1,641",894,"1,454",240,,,"1,046",,,"1,060","1,882",,176,"1,192",,"1,999",952,,716,,,,6916,"1,153"
Coach & Horses ,"71 Wakefield Road, Robin Hood ",LS26 0SF,Pub,Ardsley and Robin Hood,Y,LS26,21957,72373027,53.748778,-1.507761,428158,432558,Y,,,,,Glass,1,,1,718,467,647,,341,509,,601,342,711,342,731,632,513,170,687,630,"1,184","1,059","1,520",139,328,509,354,544,84,"1,335",422,614,343,,588,483,243,0,313,4971,452
Cock Beck Inn,Pendas Way Seacroft,LS15 8LA,Pub,Cross Gates and Whinmoor,Y,LS15,21958,72538870,53.815535,-1.438417,435619,437072,Y,,,,,Glass,1,,1,,471,"1,206","1,114","1,009",788,"2,007",663,"1,095",974,983,650,526,689,940,658,"1,144",,,,"1,150",658,350,"1,120",362,"1,036","1,335",517,783,686,0,536,657,"1,049",623,811,8395,700
Cockshott Lane,opp Wyther Park Road,LS12 7RQ,Road Side,Armley,,LS12,21959,72050867,53.805101,-1.609456,434383,425817,Y,,,,,Glass,1,,1,,702,,595,568,137,634,,,"1,067",714,455,"1,313",706,"1,040",503,"1,033",686,,205,"1,078",743,"1,011","1,176",751,"1,363",890,854,720,"1,692",747,850,"1,204","2,349","2,283",866,14571,"1,214"
Colton Sports & Social,School Lane,LS15 9HH,Sports Club,Temple Newsam,,LS15,21960,72245706,53.793078,-1.439461,433120,437023,Y,,,,,Glass,1,,1,,,560,109,,497,239,,165,,,476,,258,174,,669,"2,305","1,520",768,,,594,,,587,,,574,,367,0,374,,312,,2215,369
Cookridge Hall (Esporta Sports Club),Cookridge Lane,LS16 7NL,Leisure Centre,Adel and Wharfedale,,LS16,21998,72655222,53.861768,-1.610166,440687,425736,Y,,,,,Glass,1,,1,,95,,,,270,,242,,"5,800",,,,,458,,92,224,652,105,190,,,,,,673,,0,,220,,247,243,158,,1542,257
Co-op Beeston   Super 'C',"Town Street, Beeston",LS11 8PN,Supermarket,Beeston and Holbeck,Y,LS11,22251,72652832,53.812206,-1.577867,435185,427893,Y,,,,,Glass,1,,5,"3,823","3,538","3,749","4,387","5,094","3,518","3,992","3,518","5,602","6,146","3,293","4,802",,,"5,468","5,433","4,404",,670,,"5,329","6,345","5,473","3,738","6,955","5,090","5,239","5,564","5,225","4,433","5,477","4,561","5,476","4,455","3,570","4,564",60608,"5,051"
Co-op Burley Station,132 Cardigan Road,LS6 1LU,Supermarket,Headingley,Y,LS6,21965,72733326,53.812256,-1.576773,435191,427965,Y,,,,,Glass,1,,5,"3,703","3,892","6,195","2,141","4,998","4,288","2,021","5,527","6,935","7,383","3,517","2,843","1,962","2,466","6,924","3,604","2,460","6,049","5,684","6,832","3,555","3,432","2,421","3,854","3,138","4,930","4,983","4,071","3,912","4,738","5,061","3,051","1,511","2,678","2,603","3,206",43881,"3,657"
Co-op Kippax,"60 High Street, Kippax",LS25 7AB,Supermarket,Kippax and Methley,Y,LS25,21966,72324458,53.766349,-1.367619,430186,441782,Y,Y,,,,"Glass, Paper",1,,4,"7,290","3,610","8,410","5,841","7,247","4,549","9,273","3,595","9,983","8,573","6,673","6,581","6,596","5,870","5,729","7,065","5,454","8,306","11,752","4,679","6,281","9,231","5,517","6,755","6,787","9,002","7,194","9,044","8,386","7,597","6,211","6,836","11,034","7,847","5,460","7,543",92942,"7,745"
