Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Leodiensian Club,"Crag Lane, Alwoodley",LS17 5PR,Social Club,Alwoodley,Y,LS17,22084,72110488,53.855699,-1.569995,440027,428382,Y,,,,,Glass,1,,1,716,,463,,,585,,,,528,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidl Halton,Selby Road,LS15 0DL,Shops,Temple Newsam,Y,LS15,23156,72661411,53.795059,-1.471573,433324,434906,Y,,,,,Glass,,,,,"8,603","7,943","8,149","9,374","7,387","7,912",5762,10120,7481,7966.05,11002.06,,,,,,,,,,,,,,,,,,,,,,,,,,
Lidl Oulton,"60 Aberford Road, Oulton",LS26 8HP,Shops,Rothwell,Y,LS26,22088,72563523,53.750954,-1.448105,428429,436490,Y,,,,,Glass,1,,3,"10,003","12,757","9,996","10,895","10,214","10,284","9,499",8480,13415,11771,9605.81,11833.01,,,,,,,,,,,,,,,,,,,,,,,,,,
Lisker Drive Otley,Road Side,LS21 1DQ,Road Side,Otley and Yeadon,Y,LS21,22089,72639489,53.902207,-1.680486,445163,421091,Y,,,,,Glass,1,,1,936,"1,129","1,617","1,765",850,360,"1,353",1012,1288,872,773.75,1761.03,,,,,,,,,,,,,,,,,,,,,,,,,,
Mainline WMC,Pudsey Road,LS13 4LS,Social Club,Farnley and Wortley,Y,LS13,22091,72162285,53.795458,-1.619966,433306,425131,Y,,,,,Glass,1,,1,259,,0,218,268,198,,555,309,723,1675.81,259,,,,,,,,,,,,,,,,,,,,,,,,,,
Manor Function Room,"Stoney Royd, Farsley",LS28 5JA,Business,Calverley and Farsley,,LS28,22093,72394321,53.813228,-1.678627,435264,421258,Y,,,,,Glass,1,,1,,,,464,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maxis Restaurant,Bingley Street,LS3 1LX,Restaurant,Armley,Y,LS3,22096,72557906,53.799565,-1.561824,433785,428958,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meanwood Cricket Club ,Parkside Road,LS6 4NE,Sports Club,Moortown,,LS6,,72139056,53.83665,-1.571558,437907,428292,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Meanwood Valley Urban Farm,Sugarwell Road,LS7 2QG,Business,Chapel Allerton,,,,72566639,53.820546,-1.552704,436123,429544,,Y,,,,Paper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mecure Hotel Weatherby,"Leeds Road, Wetherby ",LS22 5HE,Hotel,Wetherby,Y,LS22,22179,72555119,53.924357,-1.387283,447754,440334,Y,,,,,Glass,1,,1,469,821,,572,445,,548,303,542,751,210.25,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mercantile Club,"16 Commercial Street, Morley",LS27 8HN,Social Club,Morley South,Y,LS27,22099,72365814,53.746012,-1.599972,427812,426479,Y,,,,,Glass,1,,1,363,491,169,"1,036",337,390,316,84,865,356,481,195.6,,,,,,,,,,,,,,,,,,,,,,,,,,
Merlins,"Helston Road, Middleton",LS10 4PG,Pub,Middleton Park,,LS10,22100,72095841,53.75256,-1.560236,428556,429095,Y,,,,,Glass,1,,1,,,,784,,,333,,,394,,84.42,,,,,,,,,,,,,,,,,,,,,,,,,,
Methley Cricket Club,"Church Side, Methley",LS26 8EF,Sports Club,Kippax and Methley,,LS26,22101,72565255,53.735499,-1.409408,426730,439056,Y,,,,,Glass,1,,1,"1,692","2,323","2,040","1,591","2,934","1,690","1,901",1894,2405,2365,1541.47,2216.19,,,,,,,,,,,,,,,,,,,,,,,,,,
Methley W.M.C ,"21 Pinfold Lane, Methley",LS26 9AA,Sports Club,Kippax and Methley,,LS26,22102,72380535,53.738065,-1.393898,427024,440077,Y,,,,,Glass,1,,1,"1,501","1,568","1,381","1,255","1,868","1,094","1,645",1442,1535,2372,1675.81,1486.72,,,,,,,,,,,,,,,,,,,,,,,,,,
Mexborough Arms Public House,"Main Street, Thorner ",LS14 3DX,Social Club,Harewood,,LS14,22103,72385633,53.858721,-1.426497,440430,437818,Y,,,,,Glass,1,,,"1,671",756,"1,922",,"2,225",662,"2,088",1269,2491,1844,937.74,1554.87,,,,,,,,,,,,,,,,,,,,,,,,,,
Middleton Conservative Club,"4 Ring Road, Middleton",LS10 4AX,Social Club,Middleton Park,Y,LS10,22105,72170596,53.748282,-1.539005,428089,430498,Y,,,,,Glass,1,,3,403,405,505,,749,541,913,,350,520,366.41,775.36,,,,,,,,,,,,,,,,,,,,,,,,,,
Moor Allerton Golf Club,"Syke Lane, Scarcroft",LS17 9NH,Sports Club,Harewood,Y,LS17,22107,72388356,53.869896,-1.480379,441646,434265,Y,,,,,Glass,1,,1,613,390,,,,"1,171",,,,1057,,215.39,,,,,,,,,,,,,,,,,,,,,,,,,,
Moor Valley Leisure Park,"Mill Lane, Hawksworth",LS20 8PQ,Caravan Park,Guiseley and Rawdon,Y,LS20,22325,72554351,53.868297,-1.769278,441368,415269,Y,,,,,Glass,1,,1,588,,693,450,342,,,710,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moortown Rugby Union Football Club,"Moss Valley, Allwoodley",LS17 7NT,Sports Club,Alwoodley,Y,LS17,22110,72552524,53.856785,-1.554841,440154,429378,Y,,,,,Glass,1,,1,409,585,154,,331,,,,534,382,153.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Moortown Social Club,Cranmer Gardens,LS17 5LA,Social Club,Alwoodley,Y,LS17,22111,72242542,53.848615,-1.554867,439245,429382,Y,,,,,Glass,1,,1,,504,,690,497,,469,340,267,390,153.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morley United Services Club,"High Street, Morley",LS27 9AL,Social Club,Morley South,Y,LS27,22112,72350683,53.741861,-1.597782,427351,426626,Y,,,,,Glass,1,,1,,,470,,,,,,,,378.72,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morley W.M.C,"Fountain Street, Morley",LS27 9EH,Social Club,Morley South,Y,LS27,22113,72350235,53.742941,-1.603549,427469,426245,Y,,,,,Glass,1,,1,363,0,505,,80,781,0,,526,87,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,"69 Town Street, Horsforth",LS18 5BP,Shops,Horsforth,Y,LS18,22115,72313089,53.838324,-1.640686,438068,423742,Y,Y,,,,"Glass, Paper",1,,8,"25,713","24,274","23,809","27,518","24,939","19,218","20,824",22888,27695,21020,21672.58,25713,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,"Shopping Centre, Hunslet",LS10 2AP,Shops,City and Hunslet,Y,LS10,22116,72106174,53.779253,-1.529014,431539,431134,Y,Y,,,,"Glass, Paper",1,,3,"6,837","3,144","4,298","5,450","4,621","6,808","4,050",4660,6128,5493,4622.22,5329.85,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,"1 Savins Mill Way, Kirkstall",LS5 3RP,Shops,Kirkstall,Y,LS5,22117,72507395,53.813169,-1.601869,435283,426312,Y,Y,,,,"Glass, Paper",1,,4,"15,172","18,628","6,039","19,432","15,290","16,456","13,922",15213,19362,,14780.61,6501,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,"Windsor Court, Morley",LS27 9BG,Shops,Morley South,Y,LS27,22118,72400031,53.745599,-1.603008,427765,426279,Y,Y,,,,"Glass, Paper",1,,6,"18,593","18,677","16,003","19,481","18,755","17,762","15,168",16701,17771,19586,13768.72,17809.09,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,"1 Jail Yard Parade, Rothwell",LS26 0AF,Shops,Rothwell,Y,LS26,22119,72677116,53.748911,-1.479553,428186,434418,Y,Y,,,,"Glass, Paper",1,,9,"20,926","15,720","15,816","17,756","18,154","20,926","16,111",14121,23657,22682,14563.32,16454.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,136 Swinnow Road,LS13 4DN,Shops,Armley,Y,LS13,22120,72551141,53.803652,-1.636184,434212,424058,Y,Y,,,,"Glass, Paper",1,,8,,"15,694","14,719","31,957","38,758","31,051","32,132",30231,37033,43768,31650.28,22803.32,,,,,,,,,,,,,,,,,,,,,,,,,,
Morrisons,"High Street, Yeadon",LS19 7PP,Shops,Otley and Yeadon,Y,LS19,22121,72564891,53.865811,-1.682588,441113,420971,Y,Y,,,,"Glass, Paper",1,,6,"15,414","14,388","11,262","15,155","12,329","11,392","14,011",7879,16986,13916,11405.53,14908.55,,,,,,,,,,,,,,,,,,,,,,,,,,
Myrtle Tavern,Parkside Road,LS6 4NE,Pub,Moortown,,LS6,22123,72139055,53.836088,-1.570409,437845,428368,Y,,,,,Glass,1,,3,616,317,996,309,"1,576",616,0,948,1429,165,730.32,616,,,,,,,,,,,,,,,,,,,,,,,,,,
"Naburn Approach, near Pendas Arms","Car Park adj, Naburn Approach",LS14 2DF,Roadside,Cross Gates and Whinmoor,,LS14,23152,72721195,53.837273,-1.455514,438029,435928,Y,,,,,Glass,1,,1,685,"1,343","1,559","1,130","1,110",982,853,1242,1926,1294,1143.27,492.45,,,,,,,,,,,,,,,,,,,,,,,,,,
New Farnley Community Centre,"Low Moor Side, Farnley",LS12 5EA,Community Centre,Farnley and Wortley,,LS12,23130,72071530,53.776226,-1.623599,431165,424903,Y,,,,,Glass,1,,2,"3,299","2,670","2,985","2,926","2,208","1,869","2,685",1944,5510,2860,2355.91,3829.69,,,,,,,,,,,,,,,,,,,,,,,,,,
New Farnley Cricket Club,Lawns Lane ,LS12 5ES,Sports Club,Farnley and Wortley,Y,LS12,22003,72056638,53.783624,-1.623457,431988,424908,Y,,,,,Glass,1,,3,"1,336",,"1,273",,996,,"1,302",1355,,,,1355.09,,,,,,,,,,,,,,,,,,,,,,,,,,
New Masons Arms,"26 Aberford Road, Oulton",LS26 8JR,Hotel,Rothwell,,LS26,22132,72380863,53.747863,-1.452179,428083,436224,Y,,,,,Glass,1,,1,826,423,,"1,114",370,596,298,264,432,444,642.89,367,,,,,,,,,,,,,,,,,,,,,,,,,,
New Moorside Social Club,Holborn Approach,LS6 2PW,Social Club,Hyde Park and Woodhouse,Y,LS6,22354,72236183,53.813534,-1.561624,435343,429569,Y,,,,,Glass,1,,2,0,,,,195,569,,593,872,,285.49,0,,,,,,,,,,,,,,,,,,,,,,,,,,
New Travellers Rest,"Ring Road, Crossgates",LS15 7PF,Pub,Killingbeck and Seacroft,,LS15,22182,72053730,53.808996,-1.453038,434884,436115,Y,,,,,Glass,1,,1,761,528,711,586,177,,595,352,223,660,87.78,569.1,,,,,,,,,,,,,,,,,,,,,,,,,,
New Wortley Labour Club ,Oak Road,LS12 2HJ,Social Club,Armley,,LS12,22138,72147009,53.794664,-1.57361,433235,428185,Y,,,,,Glass,1,,1,,170,,,287,,"1,158",,725,,158.37,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Parade Car Park (formely The Licks Car park),"Cattle Market Street, Otley ",LS21 1BQ,Car Park,Otley and Yeadon,Y,LS21,22087,72339909,53.907119,-1.692748,445706,420283,Y,Y,,,,"Glass, Paper",1,,8,"10,315","14,927","7,218","11,327","9,739","7,850","10,893",9651,15582,10247,7380.05,12756.49,,,,,,,,,,,,,,,,,,,,,,,,,,
North Sea Chinese Restaurant,"40 Town Street, Stanningley, Pudsey",LS28 6EZ,Restaurant,Bramley and Stanningley,Y,LS28,22139,72557466,53.807921,-1.660521,434679,422453,Y,,,,,Glass,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Old Masons Arms Public House,"59 Aberford Road, Oulton",LS26 8JA,Pub,Rothwell,Y,LS26,22143,72380884,53.750587,-1.450354,428387,436342,Y,,,,,Glass,1,,1,826,797,691,226,797,596,149,616,711,1088,550.18,684,,,,,,,,,,,,,,,,,,,,,,,,,,
Old White Hart Public House,"Town Street, Beeston",LS11 8BZ,Pub,Beeston and Holbeck,Y,LS11,22146,72217684,53.772307,-1.567661,430750,428592,Y,,,,,Glass,1,,1,0,,604,,137,,0,,512,719,113.71,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Oldfield Hotel,146 Oldfield Lane,LS12 4EU,Pub,Farnley and Wortley,Y,LS12,22147,72150410,53.788631,-1.588577,432558,427203,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otley Social Club,"Hollin Gate, Otley",LS21 2DP,Social Club,Otley and Yeadon,,LS21,22151,72343523,53.914117,-1.713097,446479,418943,Y,,,,,Glass,1,,1,451,"1,144",,536,461,,372,336,369,369,,879.59,,,,,,,,,,,,,,,,,,,,,,,,,,
Oxley Hall - University of Leeds,"Oxley Hall, Weetwood Lane",LS16 8HL,Student Accomodation,Weetwood,,LS16,22082,72224780,53.835753,-1.58769,437801,427231,Y,,,,,Glass,1,,3,,,77,,,,,,,,,1417.35,,,,,,,,,,,,,,,,,,,,,,,,,,
Parkfield Suite (former Parkfield Club),"Parkfield Street, Stanningley",LS28 6BS,Social Club,Calverley and Farsley,Y,LS28,22156,72737504,53.807375,-1.658698,434619,422573,Y,,,,,Glass,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Peggy Tub Social Club,Woodhouse Hill Road,LS10 2EF,Social Club,City and Hunslet,Y,LS10,22159,72236004,53.771033,-1.525586,430626,431366,Y,,,,,Glass,1,,3,,"1,470",404,,374,552,,559,,1182,481,391.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Podger Public House,"Ninelands Lane, Garforth",LS25 1NT,Pub,Garforth and Swillington,Y,LS25,22161,72537504,53.79277,-1.376922,433120,441143,Y,,,,,Glass,1,,3,"1,371","1,059","1,689",526,,"2,093","2,080",,1723,,702.23,1371.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Potternewton Depot,Potternewton Lane,LS7 3ND,Council Office,Chapel Allerton,,LS7,22162,72090746,53.825168,-1.534333,436645,430750,Y,,,,,Glass,,,,"4,814","3,473","6,024","5,604","2,521","3,090","3,457",2770,5709,4488,3110.29,4814,,,,,,,,,,,,,,,,,,,,,,,,,,
Potternewton Heights,Off Potternewton Lane,LS7 3DD,Road Side,Chapel Allerton,Y,LS7,22163,72160258,53.825054,-1.540717,436630,430330,Y,,,,,Glass,1,,1,208,,575,403,,285,,297,,388,749.73,208,,,,,,,,,,,,,,,,,,,,,,,,,,
Priesthorpe School,"Preisthorpe Lane, Pudsey",LS28 5SG,Educational Facility,Calverley and Farsley,Y,LS28,22165,72277866,53.80997,-1.687141,434899,420699,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudsey Bowling Club,Windmill Hill,LS28 8JQ,Sports Club,Pudsey,Y,LS28,22168,72282047,53.790373,-1.67566,432722,421465,Y,,,,,Glass,1,,1,423,653,337,328,,533,348,486,,1544,227.42,423,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudsey Civic Hall,"Dawson Corner, Pudsey",LS28 5TA,Council Office,Calverley and Farsley,Y,LS28,21956,72557325,53.80733,-1.681299,434607,421085,Y,Y,,,,"Glass, Paper",1,,3,,845,"1,807","1,799",856,925,"1,222",932,339,1885,987.39,5993,,,,,,,,,,,,,,,,,,,,,,,,,,
Pudsey Leisure Centre,"Market Square, Pudsey",LS28 7BE,Leisure Centre,Pudsey,Y,LS28,22169,72394387,53.795451,-1.66261,433291,422322,Y,,,,,Glass,1,,3,"5,993","5,609","4,703","5,630","5,970","3,576",,6407,5234,7023,4968.26,5993,,,,,,,,,,,,,,,,,,,,,,,,,,
Queens Hotel,"Hope Street, Morley",LS27 8DY,Pub,Morley South,Y,LS27,22172,72359273,53.744935,-1.600664,427692,426434,Y,,,,,Glass,1,,3,"3,883","3,169","3,480","3,687","2,983","2,648","3,295",2473,4075,3038,2924.38,3883.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Raging Bull Boxing Club ,Rookwood Road,LS9 0NJ,Sports Club,Burmantofts and Richmond Hill,,LS9,22540,72560924,53.79908,-1.4912,433762,433610,Y,,,,,Glass,1,,,,,,,,,,,529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramada Jarvis,Otley Road,LS16 8AJ,Hotel,Adel and Wharfedale,Y,LS16,22178,72681049,53.867714,-1.592485,441355,426895,Y,,,,,Glass,1,,3,,,"1,601",,"1,369",,"1,847",,787,264,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawdon and Guiseley Conservative Club,24 Leeds Road ,LS19 6NL,Social Club,Horsforth,Y,LS19,22180,72290489,53.850097,-1.681552,439365,421047,Y,,,,,Glass,1,,1,,666,,,,613,,,384,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rawdon Library/Micklefield House ,"New Road Side, Rawdon",LS19 6DF,Council Office,Guiseley and Rawdon,Y,LS19,22104,72553282,53.853345,-1.686194,439725,420740,Y,Y,,,,"Glass, Paper",1,,3,"9,124","11,130","7,121","9,966","6,629","6,140","6,563",5448,10405,7994,6637.57,9057.9,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Cragside Cresent, Hawksworth",LS5 3QU,Roadside,Kirkstall,,LS5,22047,72028936,53.828137,-1.617031,436943,425305,Y,,,,,Glass,1,,,,,"1,041",345,930,585,"1,381",340,508,1206,352.07,307.54,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Fairfield Mount ( Stanningley Road), Bramley",LS13 3EQ,Road Side,Bramley and Stanningley,Y,LS13,23187,72066646,53.807236,-1.643528,434608,434608,Y,,,,,,,,,433,,760,588,836,,365,878,738,1823,581.78,432.78,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Burton Row, (oppo. The Blooming Rose pub)",LS11 5NX,Roadside,Beeston and Holbeck,,LS11,23140,72033983,53.779602,-1.541354,431572,430321,Y,,,,,Glass,1,,1,280,,328,,,428,,,693,,553.14,322.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Cottingley Drive (nr Dulverton Square),LS11 0LL,Road Side,Beeston and Holbeck,,LS11,21971,,53.765875,-1.583917,430035,427525,Y,,,,,Glass,1,,1,513,,721,,702,,420,,738,398,377.67,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Cottingley Drive (nr Dulverton Grove),LS11 0LD,Road Side,Beeston and Holbeck,,LS11,21972,,53.768372,1.587419,430305,427292,Y,,,,,Glass,1,,1,,,361,,351,,210,,369,398,188.84,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Cottingley Drive (nr Cottingley Fold),LS11 0JZ,Road Side,Beeston and Holbeck,,LS11,21973,,53.771104,1.58415,430610,427506,Y,,,,,Glass,1,,1,,,180,,702,,0,,185,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Nassau Place,LS7 4BX,Road Side,Chapel Allerton,Y,LS7,22125,72080927,53.815337,-1.529773,435553,431057,Y,,,,,Glass,1,,1,"1,382",730,950,"1,258","1,009","1,487","1,069",1105,2024,1157,1570.62,1382,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Beech Avenue, Armley",LS12 3AH,Road Side,Armley,Y,LS12,22191,72741114,53.79769,1.589588,433565,427131,Y,,,,,Glass,1,,1,"1,650","1,396","1,564","2,284","2,041","1,484","1,055",1260,2674,2622,648.84,1649.7,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Corner of Tynwald Hill and Cranmer Bank,LS17 5LB,Road Side,Moortown,Y,LS17,23170,72051470,53.847044,-1.557092,439069,429237,Y,,,,,Glass,1,,1,629,532,364,314,,266,540,619,728,1070,276.57,628.57,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Headingley Mount,LS6 3JX,Road Side,Headingley,,LS6,22195,72094334,53.821471,-1.584439,436213,427454,Y,,Y,Y,,"Glass, textile, small electrical appliances",1,,1,"1,388",505,"1,048","1,629",720,823,626,1064,1220,777,909.3,1388,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Queens Road,   LS6 1HU,Road Side,Hyde Park and Woodhouse,,LS6,22198,72521987,53.807661,-1.570518,434682,428380,Y,,Y,Y,,"Glass, textile, small electrical appliances",1,,2,338,973,664,763,638,364,710,1185,945,880,572.23,338,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Stanmore Hill,LS4 2PW,Road Side,Kirkstall,,LS6,22202,72113670,53.811674,-1.583583,435124,427517,Y,,Y,Y,,"Glass, textile, small electrical appliances",1,,1,"1,055",349,"1,192","1,492","1,122","1,105","1,827",1741,1310,1931,1315.3,1055,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Vicarage Terrace,LS5 3HF,Road Side,Kirkstall,,LS5,22204,72221898,53.81884,-1.597572,435915,426591,Y,,,,,Glass,1,,1,880,"1,149","1,549",754,"1,095",,1023.22,920,703,1342,432.03,880,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Smithy Lane,WF3 1QQ,Road Side,Ardsley and Robin Hood,,WF3,23158,72363046,53.728193,-1.564004,425844,428863,Y,,,,,Glass,1,,2,,,,,,"3,866",,3074,5341,3433,"3,272",,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Weston Ridge, Otley",LS21 2EF,,,,,22206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Temple View Road,LS9 9LH,Road Side,Halton,,LS9,22350,72766028,53.79579,-1.515381,433385,432020,Y,,,,,Glass,,,,532,,670,532,548,368,170,746,350,667,481,532.43,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Moorside Road, Driglington",BD11 1EP,Road Side,Morley North,Y,BD11,22109,72353516,53.753548,-1.656294,428631,422761,Y,,,,,Glass,1,,3,"4,699","3,432","2,403",,"3,937","3,999","3,085",3011,5764,3413,3408.39,5133.23,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Tranmere Court, Bradford Road",LS20 8NH,Road Side,Guiseley and Rawdon,,LS20,,,53.876644,-1.724981,442307,418179,,Y,,,,Paper,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Batcliffe Mount,LS6 3PW,Road Side,Weetwood,,LS6,22190,72192450,53.822377,-1.587959,436313,427222,Y,,,,,Glass,1,,1,"2,394","1,926","2,182","2,107","1,342","1,637","1,769",2249,2615,1886,1772.84,2394,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Canterbury Drive,LS6 3DY,Road Side,Headingley,,LS6,22192,72115548,53.818451,-1.58904,435875,427153,Y,,,,,Glass,1,,1,805,"1,139","1,048","1,085",391,449,488,426,607,440,923.49,374,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Elland Road, Churwell Hill",LS27 7PT,Road Side,Morley North,Y,LS27,22193,72348866,53.758442,-1.593745,429197,426882,Y,,,,,Glass,1,,2,"4,657","4,242","4,297","5,296","4,483","4,049","4,256",4192,4845,6358,3708.48,4657.16,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Street Lane, Gildersome",LS27 7JB,Road Side,Morley North,Y,LS27,22248,72356110,53.757762,-1.632362,429108,424336,Y,,,,,Glass,1,,3,"7,286","5,855","6,438","7,779","6,623","5,662","6,043",4360,8385,6681,5947.92,7285.91,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Stott Road,LS6 1DL,Road Side,Headingley,,LS6,22340,72169372,53.814881,-1.574543,435484,428110,Y,,Y,,,"Glass, textile",1,,1,430,470,985,553,391,443,656,430,872,763,717.29,430,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Station Lane, East Ardsley",WF3 2FJ,Road Side,Ardsley and Robin Hood,,WF3,22965,,53.733793,-1.535605,426478,430733,Y,,,,,Glass,1,,1,"2,395","1,745","1,213","2,923","1,669","1,767","1,881",1703,2824,2125,1743.12,2394.66,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Wakefield/Leeds Road,WF3 3LU,Road Side,Ardsley and Robin Hood,,WF3,22205,,53.720826,-1.49772,425053,433242,Y,,,,,Glass,1,,1,842,"1,023",628,"2,673","1,430",634,"1,072",1020,2019,1528,1345.06,842.08,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Old Bradford Road, Bradford Road",BD11 1EB,Road Side,Morley North,,BD11,22141,72352703,53.750579,-1.641586,428305,423732,Y,,,,,Glass,,,,581,401,259,"2,069",806,561,327,483,1169,680,820.53,448.91,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Village Green, Fewston Avenue/Cross Green Ln",LS9 0DD,Road Side,Burmantofts and Richmond Hill,,LS9,22276,72054113,53.789278,-1.519894,432658,431727,Y,,,,,Glass,1,,1,,,,,374,,333,167,,530,253,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Old Run Road, Belle Isle, Middleton",LS10 3AU,Road Side,City and Hunslet,Y,LS10,22144,72538053,53.771495,-1.535626,430673,430704,Y,,,,,Glass,1,,3,663,203,959,,,,196,,,876,481,391.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Lingwell Gate Lane ,WF3 3BX,Road Side,Ardsley and Robin Hood,,WF3,22964,,53.735981,-1.522147,426728,431619,Y,,,,,Glass,1,,1,"2,657","2,005","2,210",,"1,829","1,777","1,854",1725,2755,2294,1477.19,2657,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Stanningley, Rossefield Lawn",LS28 6BN,Road Side,Bramley and Stanningley,Y,LS13,22212,72510531,53.80595,-1.6286823,434513,424527,Y,Y,,,,"Glass, Paper",1,,2,,849,594,"1,775",861,434,"1,020",538,813,1586,579.49,992.24,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Cartmell Drive ,LS15 0AR,Road Side,Temple Newsam,,LS15,22364,72086540,53.789019,-1.482673,432647,434180,Y,,,,,Glass,1,,1,,,,355,,552,333,334,,333,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Oakwell Road, Drighlington",BD11 1DS,Roadside,Morley North,,BD11,22553,72352438,53.751996,-1.650567,428460,423139,Y,,,,,Glass,1,,2,"1,215",293,478,415,"1,125",341,655,465,1337,509,559.06,1214.67,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Cross green Lane ,LS9 0BD,Road Side,Burmantofts and Richmond Hill,,LS9,22983,72054221,53.789184,-1.515647,432650,432007,Y,,,,,Glass,1,,1,,362,760,532,0,"1,013",,,508,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,Cottingley Drive (Cottingley Towers),LS11 0JH,Road Side,Beeston and Holbeck,,LS11,21973,,53.768673,-1.583092,430340,427577,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roadside,"Calverley Ln, Horsforth Vale, Leeds ",LS13 1NP,Road Side,Horsforth,,LS13,22336,,53.828618,-1.661343,436980,422391,Y,,,,,Glass,1,,,,,"1,039","1,802","1,291","1,285",746,1664,1657,2137,2803.56,824.5,,,,,,,,,,,,,,,,,,,,,,,,,,
