Site Name,Address,Post Code,Location Type,Ward,Sticker,Postcode area,Site Number,UPRN,Latitude,Longitude,y,x,Recyclables-Mixed Glass,Recyclables-Paper,Recyclables-Textiles,Recyclables Small Electrical,Non LCC Banks,Type,Tally of Sites,Cleaning,No of  Glass Banks,04/19 Glass Tonnages Kg,05/19 Glass Tonnages Kg,06/19 Glass Tonnages Kg,07/19 Glass Tonnages Kg,08/19 Glass Tonnages Kg,09/19 Glass Tonnages Kg,10/19 Glass Tonnages Kg,11/19 Glass Tonnages Kg,12/19 Glass Tonnages Kg,01/20 Glass Tonnages Kg,02/20Glass Tonnages Kg,03/20 Glass Tonnages Kg,,,,,,,,,,,,,,,,,,,,,,,,,,
Blands Arms,"Great North Road, Micklefield",LS25 4AQ,Pub,Kippax and Methley,Y,LS25,21925,72322081,53.79412,-1.32729,433300,444411,Y,,,,,Glass,1,,1,905,265,711,438,707,523,259,429,711,805,702.23,570.31,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Spa School,"Clifford Moor Road, Boston Spa",LS23 6RW,Educational Facility,Wetherby,Y,LS23,21963,72555408,53.900101,-1.361994,445070,442019,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brackenwood Community Centre,Brackenwood Drive,LS8 1RG,Pub,Roundhay,,LS8,22051,72560195,53.83801,-1.524616,438078,431380,Y,,,,,Glass,1,,1,,,,,87,,899,170,330,536,,514.21,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramham Primary School,Bramham Road,LS23 6JQ,Educational Facility,Wetherby,Y,LS23,21926,72567765,53.887022,-1.35171,443621,442708,Y,,,,,Glass,1,,2,"1,991","3,201","2,318","3,223","3,074","1,252","2,289",2952,3109,3562,2108.7,3272.93,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramley Band Club,Elswick Terrace,LS13 2BG,Social Club,Armley,Y,LS13,21927,72217864,53.808907,-1.623595,434801,424884,Y,,,,,Glass,1,,1,338,509,294,218,268,177,105,,464,281,227.42,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramley Social Club - Villagers,340 Broad Lane,LS13 2HF,Social Club,Bramley and Stanningley,Y,LS13,21929,72027824,53.816939,-1.631118,435692,424384,Y,,,,,Glass,1,,2,"1,759",764,"1,950","1,300",,"1,996","2,383",1742,1810,2708,2043.73,338,,,,,,,,,,,,,,,,,,,,,,,,,,
Bramley WMC,Elder Road,LS13 4BY,Social Club,Pudsey,Y,LS13,21930,72064109,53.804823,-1.631376,434344,424374,Y,,,,,Glass,1,,3,0,0,"1,088",279,,"1,355",,210,,652,0,646.16,,,,,,,,,,,,,,,,,,,,,,,,,,
British Legion Club,"Robin Lane, Pudsey",LS28 7BR,Social Club,Pudsey,Y,LS28,21933,72567612,53.794986,-1.660185,433240,422482,Y,,,,,Glass,1,,1,"1,393","1,847","1,097","1,606","1,173",770,"1,348",1804,1655,2345,1240.1,1393,,,,,,,,,,,,,,,,,,,,,,,,,,
British Lending Library,Thorpe Arch,LS23 7BQ,Business,Wetherby,Y,LS23,21934,72393710,53.919742,-1.32142,447280,444664,Y,,,,,Glass,1,,1,,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Oak Public House,"Westerton Road, East Ardsley",WF3 1AF,Pub,Ardsley and Robin Hood,Y ,WF3,21935,72370410,53.723972,-1.57625,425369,428058,Y,,,,,Glass,1,,1,"3,691","3,983","2,169","4,150",,"3,112","3,469",3223,,3618,3266.28,5305.44,,,,,,,,,,,,,,,,,,,,,,,,,,
Broadlea Hill Community Centre,"Broadlea Hill, Bramley",LS13 2SN,Community Centre,Bramley and Stanningley,Y,LS13 ,23186,72028337,53.817594,-1.618634,435769,435769,Y,,,,,,,,,,81,,325,,127,,181,185,144,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Burley Road,Burley Road,LS4 2NZ,Road Side,Kirkstall,,LS4,,7259800,53.810572,-1.585043,435001,427417,,,Y,Y,,"Textile, Small Electrical Appliances",,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bruntcliffe WMC,"Wakefield Road, Morley",LS27 0LQ,Social Club,Morley North,Y,LS27,21937,72349938,53.744021,-1.623599,427582,424922,Y,,,,,Glass,1,,1,726,,,,,781,,,272,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bulls Head Public House,20 St Matthews Street,LS11 9NR,Pub,Beeston and Holbeck,,LS11,21939,72643413,53.786237,-1.559838,432303,429098,Y,,,,,Glass,1,,3,615,373,,,630,230,,340,,332,290.89,,,,,,,,,,,,,,,,,,,,,,,,,,,
Car Park,Hyde Park Road Site 1,LS6 1PY,Car Park,Hyde Park and Woodhouse,,LS6,22188,72103767,53.806171,-1.5688884,434517,428489,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bus Terminus,Sir George Martins Drive,LS16 8JE,Transport,Adel and Wharfedale,Y,LS16,21941,72256138,53.853396,-1.577072,439768,427918,Y,,,,,Glass,1,,4,"4,572","5,848","6,426","6,576","7,401","4,252","3,793",5662,6335,7635,4343.05,4572,,,,,,,,,,,,,,,,,,,,,,,,,,
Buzz Bingo formerly Gala Bingo,Stonebridge Lane,LS12 4QN,Business,Farnley and Wortley,Y,LS12,22016,72566622,53.792398,-1.613178,432968,425580,Y,,,,,Glass,1,,1,,565,544,558,,462,365,351,139,332,353.05,1042.25,,,,,,,,,,,,,,,,,,,,,,,,,,
Calverley Conservative Club,"Victoria Street, Calverley",LS28 5PT,Social Club,Calverley and Farsley,Y,LS28,21943,72272754,53.82743,-1.689123,436841,420560,Y,,,,,Glass,1,,1,"1,805","1,643","1,792","1,708","1,534","1,004","1,468",1678,1655,2345,1101.68,1805,,,,,,,,,,,,,,,,,,,,,,,,,,
Cardinal Court Residents Association,Cardinal Court,LS11 8HP,Community Centre,,,LS11,23138,72725099,53.764868,-1.570377,429921,428418,Y,,,,,Glass,1,,1,0,,,,238,,"1,187",,,723,69.14,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Car Park,Hyde Park Road Site 1,LS6 1PY,Car Park,Hyde Park and Woodhouse,,LS6,22188,72103767,53.806171,-1.5688884,434517,428489,,,,,,,,,,,,,,,,,,678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caribbean Cricket Club / Scotthall Road,"Scott Hall Rd, Leeds",LS7 2HH,Social Club,Chapel Allerton,Y,LS7,22227,72566311,53.820315,-1.543927,436101,430122,Y,,,,,Glass,1,,1,0,,591,537,,262,236,,135,252,,0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlton WMC,"Main Street, Carlton",WF3 3RW,Social Club,Rothwell,Y ,WF3,21945,72567722,53.741007,-1.489339,427302,433779,Y,,,,,Glass,1,,2,894,475,"1,516",,562,852,,988,1116,,843.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carpark,"Richardshaw Road, Stanningley",,Car Park,Pudsey,Y,LS28,22203,72567603,53.803623,-1.666614,434199,422054,Y,,,,,Glass,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carr Mills,Buslingthorpe Lane,LS7 2DD,Student Accomodation,Chapel Allerton,,LS7,21946,72034088,53.815997,-1.54531,435620,430034,Y,,,,,Glass,1,,1,,,,,,,785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carriers Arms,"Glen Road, Morley",LS27 9HG,Pub,Morley South,Y,LS27,21947,72364795,53.739934,-1.596891,427137,426686,Y,,,,,Glass,1,,1,545,328,339,527,534,,677,594,408,712,,640,,,,,,,,,,,,,,,,,,,,,,,,,,
